ID,Gender,Age,Education,Experience_Years,Interview_Score,Technical_Score,Communication_Score,Fair_Score,Biased_Score,Selected_Fair,Selected
333,Male,32,Bachelor,3.9,76.2,70.8,79.1,0.4966,0.5111,0,0
334,Male,30,Bachelor,5.4,71.4,97.7,69.5,0.5753,0.5615,0,0
335,Male,29,Bachelor,3.7,70.3,48.4,62.0,0.3856,0.3881,0,0
336,Male,30,Bachelor,4.8,74.6,41.2,75.3,0.407,0.4138,0,0
337,Female,27,Bachelor,9.6,63.1,57.6,82.8,0.5,0.4214,0,0
338,Female,24,Bachelor,3.4,77.4,100.0,67.0,0.5694,0.5154,0,0
339,Male,29,Master,3.3,76.9,70.7,64.4,0.5551,0.5522,0,0
340,Male,33,High School,8.7,65.3,78.3,63.6,0.4514,0.4597,0,0
341,Male,33,Bachelor,2.0,53.7,54.2,80.0,0.3555,0.3773,0,0
342,Male,33,Bachelor,0.8,85.3,56.8,74.2,0.4307,0.4418,0,0
343,Male,31,Bachelor,8.4,45.6,71.7,63.7,0.4536,0.4522,0,0
344,Male,24,Master,4.3,86.2,94.6,70.8,0.6781,0.7073,1,1
345,Male,35,High School,1.7,74.1,77.8,68.4,0.3859,0.3852,0,0
346,Female,30,Master,1.2,81.1,75.5,61.5,0.55,0.4854,0,0
347,Female,23,Master,5.2,72.7,61.0,73.4,0.5499,0.4814,0,0
348,Male,25,Master,9.5,62.9,75.9,61.5,0.6119,0.5936,1,1
349,Male,28,Bachelor,4.5,77.7,53.4,57.6,0.4279,0.4078,0,0
350,Female,30,Master,3.1,74.6,52.7,63.4,0.4883,0.4214,0,0
351,Male,30,Bachelor,3.7,73.5,55.8,59.0,0.4142,0.399,0,0
352,Female,28,Bachelor,2.2,71.0,69.3,72.4,0.4455,0.3879,0,0
353,Female,30,Master,1.3,57.6,75.3,64.0,0.4864,0.4404,0,0
354,Male,30,Bachelor,15.0,89.1,71.2,62.3,0.6649,0.6588,1,1
355,Male,28,Master,3.0,82.7,70.6,41.7,0.539,0.5423,0,0
356,Female,25,Master,1.9,73.5,68.6,82.6,0.5425,0.4698,0,0
357,Male,33,Master,6.1,77.7,80.9,60.3,0.6223,0.6605,1,1
358,Male,24,Master,1.6,76.7,58.9,73.5,0.5059,0.5286,0,0
359,Female,23,High School,1.5,68.0,75.4,50.0,0.3351,0.2912,0,0
360,Male,31,Bachelor,3.7,63.9,52.6,68.5,0.3885,0.3926,0,0
361,Male,27,Master,9.3,82.6,59.9,39.5,0.5882,0.5681,0,1
362,Female,28,High School,2.8,83.5,59.7,70.9,0.3744,0.3262,0,0
363,Male,28,Master,4.2,71.1,54.2,57.3,0.4903,0.4813,0,0
364,Male,29,Bachelor,2.9,84.8,84.9,65.3,0.5345,0.5457,0,0
365,Female,27,Bachelor,1.6,57.5,56.5,83.6,0.3726,0.314,0,0
366,Male,29,Master,3.9,61.7,65.9,69.8,0.5114,0.5363,0,0
367,Non-Binary,22,Bachelor,0.5,84.0,92.0,70.4,0.5281,0.4902,0,0
368,Female,24,Bachelor,0.9,63.2,73.7,58.0,0.4012,0.34,0,0
369,Male,35,Bachelor,1.7,69.2,62.2,67.6,0.4054,0.4059,0,0
370,Male,25,Master,8.1,72.5,73.7,60.2,0.6119,0.623,1,1
371,Male,25,Bachelor,4.0,62.1,51.5,69.1,0.3847,0.3925,0,0
372,Male,22,Bachelor,6.1,52.8,74.5,88.8,0.4831,0.4855,0,0
373,Male,26,Master,5.5,89.0,96.8,89.6,0.7329,0.746,1,1
374,Female,28,Bachelor,3.0,89.7,85.3,59.3,0.5437,0.4907,0,0
375,Male,35,Master,13.2,63.0,53.6,77.2,0.6125,0.6248,1,1
376,Male,33,Bachelor,12.1,73.2,63.8,68.8,0.5649,0.5607,0,0
377,Female,26,PhD,3.9,69.9,63.0,68.5,0.6076,0.5305,1,0
378,Male,38,Bachelor,5.4,58.5,82.5,66.2,0.4867,0.4836,0,0
379,Female,33,Master,2.0,67.9,52.7,67.3,0.459,0.3965,0,0
380,Male,27,Bachelor,6.4,51.3,46.3,65.2,0.3653,0.3669,0,0
381,Male,22,High School,7.2,66.6,60.6,54.9,0.3685,0.3685,0,0
382,Female,28,Bachelor,1.6,90.2,72.4,62.8,0.4901,0.4562,0,0
383,Female,29,Bachelor,4.0,61.7,55.5,70.8,0.3982,0.3429,0,0
384,Female,32,Bachelor,1.4,79.3,64.7,44.5,0.4092,0.3453,0,0
385,Female,34,Bachelor,1.3,78.5,62.6,60.2,0.4186,0.3781,0,0
386,Female,23,Master,1.7,38.3,72.7,85.0,0.4546,0.4011,0,0
387,Male,34,Master,1.8,54.1,78.1,94.5,0.5301,0.5198,0,0
388,Male,31,Bachelor,3.7,72.5,61.2,60.7,0.4303,0.442,0,0
389,Female,27,Master,1.9,75.4,61.1,72.1,0.5114,0.4459,0,0
390,Female,29,Bachelor,5.3,74.1,58.7,78.8,0.4715,0.4378,0,0
391,Non-Binary,31,PhD,9.0,74.3,37.9,85.9,0.6329,0.5744,1,1
392,Male,30,Bachelor,4.1,60.9,39.7,75.3,0.3535,0.3448,0,0
393,Male,29,Master,9.4,72.9,71.6,42.3,0.6018,0.6038,1,1
394,Female,28,Master,1.7,69.7,58.6,67.3,0.4785,0.4415,0,0
395,Male,25,PhD,3.5,48.8,76.7,60.6,0.5746,0.5639,0,0
396,Female,36,Bachelor,4.6,79.3,85.0,70.7,0.5489,0.4887,0,0
397,Female,22,Bachelor,1.0,57.2,59.7,96.0,0.3891,0.325,0,0
398,Male,28,Master,4.1,62.4,73.1,64.9,0.5325,0.5463,0,0
399,Female,36,Master,2.5,71.5,40.4,91.2,0.4676,0.4017,0,0
400,Female,28,Master,1.8,65.6,43.7,59.3,0.4116,0.3714,0,0
401,Male,29,PhD,4.3,49.9,72.8,69.6,0.5877,0.5977,0,1
402,Female,26,Bachelor,0.9,76.4,92.5,68.8,0.5113,0.4227,0,0
403,Male,32,Master,12.8,73.4,82.1,77.4,0.7262,0.7294,1,1
404,Female,33,Bachelor,5.6,59.9,89.4,64.3,0.5126,0.4435,0,0
405,Male,25,Bachelor,2.5,69.5,63.6,74.2,0.4297,0.4372,0,0
406,Female,34,Bachelor,1.1,59.3,83.8,82.3,0.4547,0.387,0,0
407,Male,25,Bachelor,2.5,82.3,64.6,44.2,0.4321,0.4234,0,0
408,Male,28,Bachelor,1.5,58.1,83.3,67.8,0.437,0.455,0,0
409,Female,26,Master,1.3,63.8,42.6,59.8,0.3968,0.366,0,0
410,Male,25,Bachelor,6.6,51.0,56.0,76.0,0.4109,0.396,0,0
411,Male,29,Master,1.8,51.5,43.3,60.5,0.3713,0.3983,0,0
412,Non-Binary,29,Bachelor,2.3,74.4,50.4,83.0,0.4108,0.3433,0,0
413,Non-Binary,36,Master,3.7,49.5,46.5,78.3,0.4237,0.3973,0,0
414,Male,30,Bachelor,7.1,77.7,63.3,56.7,0.493,0.4738,0,0
415,Female,28,Master,1.5,76.2,58.1,70.2,0.4965,0.4425,0,0
416,Male,30,High School,5.1,73.9,61.7,71.0,0.3845,0.3806,0,0
417,Male,28,Master,4.5,48.6,74.6,79.1,0.5208,0.5056,0,0
418,Male,31,Master,1.9,67.3,87.4,57.9,0.5526,0.5415,0,0
419,Female,25,Master,1.1,77.4,35.6,54.8,0.405,0.3446,0,0
420,Female,29,Master,8.3,64.4,92.6,96.6,0.696,0.6136,1,1
421,Female,35,Bachelor,3.0,80.2,96.7,80.4,0.5784,0.5236,0,0
422,Female,27,High School,4.0,72.6,48.8,86.4,0.3447,0.3327,0,0
423,Male,29,PhD,2.7,71.8,87.5,71.4,0.6769,0.6744,1,1
424,Male,31,Bachelor,1.5,44.4,74.1,72.9,0.3753,0.3798,0,0
425,Male,29,Bachelor,3.0,81.9,53.1,75.2,0.4406,0.4584,0,0
426,Male,29,Master,3.4,66.7,94.7,52.1,0.5869,0.5801,0,1
427,Male,26,PhD,3.8,76.5,68.2,90.9,0.6694,0.6577,1,1
428,Female,29,Master,5.2,65.6,79.1,59.1,0.5682,0.5292,0,0
429,Male,23,High School,4.0,87.9,60.1,75.5,0.4103,0.4076,0,0
430,Male,35,High School,4.4,54.1,56.7,56.1,0.2839,0.2871,0,0
431,Male,24,Bachelor,4.2,98.5,60.5,63.6,0.5132,0.4891,0,0
432,Female,30,Bachelor,6.6,57.2,56.0,58.0,0.4062,0.3496,0,0
433,Female,31,Bachelor,5.5,74.6,54.5,74.3,0.4569,0.4304,0,0
434,Male,32,Bachelor,5.3,77.8,65.9,54.3,0.474,0.4809,0,0
435,Male,27,High School,6.1,55.8,68.6,56.6,0.3497,0.3493,0,0
436,Female,29,Bachelor,2.3,69.2,69.4,52.8,0.4175,0.3883,0,0
437,Male,26,Bachelor,2.6,60.6,59.5,67.4,0.3843,0.3596,0,0
438,Female,27,Master,0.9,61.7,54.5,66.3,0.4306,0.3727,0,0
439,Female,36,PhD,1.9,64.8,58.1,61.7,0.542,0.511,0,0
440,Male,37,Bachelor,3.7,53.6,78.6,51.4,0.4188,0.4181,0,0
441,Male,24,PhD,3.5,73.3,93.0,69.1,0.7064,0.7056,1,1
442,Non-Binary,25,Master,3.2,67.1,53.9,75.2,0.4867,0.4703,0,0
443,Male,31,Bachelor,2.3,46.2,72.7,43.7,0.3505,0.3692,0,0
444,Male,30,Master,2.2,62.8,56.4,73.6,0.4665,0.447,0,0
445,Female,25,Bachelor,3.5,77.6,69.9,86.8,0.502,0.4482,0,0
446,Female,33,Bachelor,4.3,76.2,68.9,91.0,0.511,0.476,0,0
447,Non-Binary,33,Bachelor,2.9,62.6,31.4,81.5,0.3239,0.2916,0,0
448,Female,25,Bachelor,5.1,74.5,56.0,64.0,0.443,0.3842,0,0
449,Male,32,High School,4.0,56.9,42.9,73.8,0.2655,0.2659,0,0
450,Male,37,Bachelor,2.9,70.6,60.0,78.4,0.4323,0.4428,0,0
451,Female,25,PhD,8.9,54.3,58.6,77.7,0.6286,0.5318,1,0
452,Male,23,Master,2.4,89.1,75.8,78.5,0.6115,0.5648,1,0
453,Male,28,Bachelor,1.8,65.9,77.5,79.9,0.4605,0.4637,0,0
454,Female,31,Master,5.6,71.9,54.6,61.1,0.5176,0.473,0,0
455,Male,25,Master,2.0,62.4,61.4,72.5,0.4769,0.4722,0,0
456,Male,35,PhD,1.6,53.3,74.7,79.0,0.5784,0.5692,0,1
457,Male,35,High School,1.0,65.5,48.6,71.1,0.2638,0.2613,0,0
458,Male,26,Bachelor,4.6,89.2,47.5,81.6,0.4738,0.4977,0,0
459,Male,31,Bachelor,3.0,83.0,59.7,77.4,0.4671,0.4571,0,0
460,Male,35,Master,7.1,92.5,72.7,57.8,0.6496,0.6582,1,1
461,Male,27,High School,3.2,73.8,48.0,49.0,0.288,0.2707,0,0
462,Female,30,Master,5.5,65.1,82.4,73.1,0.5986,0.5102,1,0
463,Female,35,Bachelor,1.9,75.8,74.7,70.5,0.4697,0.426,0,0
464,Male,24,High School,3.9,71.2,58.0,67.1,0.344,0.3685,0,0
465,Non-Binary,34,High School,3.0,72.3,100.0,71.5,0.4716,0.4519,0,0
466,Male,24,Bachelor,3.0,77.3,70.5,82.9,0.4914,0.4606,0,0
467,Male,29,Bachelor,2.3,54.5,57.3,72.6,0.3623,0.356,0,0
468,Female,22,Bachelor,4.8,68.1,72.4,67.5,0.4761,0.4226,0,0
469,Male,29,Bachelor,4.4,49.1,49.4,59.6,0.3344,0.3353,0,0
470,Non-Binary,31,Master,7.7,83.3,66.0,69.1,0.6246,0.552,1,0
471,Male,30,Bachelor,7.6,76.1,85.5,77.6,0.5908,0.5713,0,1
472,Non-Binary,34,Bachelor,3.7,69.4,57.0,76.3,0.4278,0.3858,0,0
473,Male,22,Master,4.3,51.9,100.0,42.5,0.5612,0.5602,0,0
474,Female,27,Bachelor,2.4,49.9,83.7,70.9,0.4308,0.3501,0,0
475,Male,33,Bachelor,4.9,65.9,71.8,89.1,0.4963,0.5053,0,0
476,Non-Binary,29,Bachelor,6.5,70.3,88.1,72.2,0.5605,0.5199,0,0
477,Male,35,Bachelor,4.8,84.5,67.6,66.4,0.5068,0.4912,0,0
478,Male,30,Bachelor,2.9,73.2,70.0,59.3,0.4472,0.4501,0,0
479,Non-Binary,22,Bachelor,3.1,61.0,40.5,78.4,0.3466,0.3007,0,0
480,Male,28,High School,4.0,48.9,69.2,58.7,0.3058,0.3051,0,0
481,Female,29,Bachelor,1.3,71.5,84.2,50.4,0.4538,0.3723,0,0
482,Female,29,Master,1.0,51.2,38.5,52.8,0.335,0.27,0,0
483,Male,31,Master,5.7,59.8,69.3,56.0,0.5238,0.517,0,0
484,Female,23,Master,7.7,72.3,78.3,79.3,0.6442,0.5561,1,0
485,Male,29,Master,1.9,67.1,79.4,93.8,0.5719,0.5777,0,1
486,Female,32,Bachelor,0.8,76.3,54.3,58.3,0.3772,0.3316,0,0
487,Male,28,Master,1.5,62.9,43.9,56.7,0.3971,0.4286,0,0
488,Male,25,Master,7.7,59.5,97.8,60.4,0.6448,0.6408,1,1
489,Non-Binary,25,Bachelor,2.3,65.0,90.2,87.2,0.5135,0.4281,0,0
490,Female,27,Master,4.1,90.6,64.1,79.7,0.6038,0.5009,1,0
491,Male,33,Bachelor,6.9,85.2,60.9,59.2,0.5075,0.4895,0,0
492,Female,26,Bachelor,3.1,67.5,91.2,65.0,0.5069,0.4969,0,0
493,Male,24,Master,6.4,70.5,53.2,83.3,0.5479,0.5473,0,0
494,Male,27,Master,5.1,66.3,71.4,50.8,0.5344,0.551,0,0
495,Male,33,Master,2.1,81.0,42.4,64.2,0.4619,0.477,0,0
496,Male,29,Master,2.8,67.5,66.6,54.6,0.4963,0.4773,0,0
497,Male,38,Bachelor,2.3,64.7,84.8,63.3,0.4659,0.439,0,0
498,Male,30,Bachelor,1.8,81.7,78.8,54.0,0.4775,0.4871,0,0
499,Non-Binary,30,Master,4.7,79.9,83.0,78.4,0.6387,0.5607,1,0
500,Non-Binary,29,Bachelor,1.8,86.5,83.8,63.3,0.5185,0.4969,0,0
501,Female,22,Bachelor,3.3,70.5,49.2,62.3,0.3836,0.3358,0,0
502,Male,28,Bachelor,5.1,55.0,84.6,58.3,0.4693,0.4785,0,0
503,Male,31,High School,7.3,74.0,63.7,87.0,0.4409,0.4455,0,0
504,Female,24,Master,6.3,77.1,32.3,56.9,0.4672,0.4164,0,0
505,Female,26,Bachelor,1.5,71.0,72.8,70.0,0.4439,0.3922,0,0
506,Male,23,PhD,6.0,66.8,79.4,88.9,0.704,0.7083,1,1
507,Female,31,Master,6.4,86.4,93.9,84.6,0.7223,0.6363,1,1
508,Female,26,PhD,4.3,77.0,60.8,66.0,0.6234,0.528,1,0
509,Female,25,Master,2.7,72.4,89.4,58.4,0.585,0.5089,0,0
510,Female,33,PhD,1.7,47.9,67.4,73.5,0.5345,0.503,0,0
511,Female,34,Master,1.9,60.6,77.2,85.8,0.5364,0.4767,0,0
512,Male,38,Bachelor,5.8,82.4,83.1,70.5,0.568,0.5851,0,1
513,Female,28,Bachelor,3.1,46.3,82.9,59.9,0.4138,0.3494,0,0
514,Female,24,Master,5.2,56.7,80.8,71.3,0.5632,0.4806,0,0
515,Male,29,Bachelor,2.7,41.7,64.5,59.4,0.337,0.319,0,0
516,Male,28,Bachelor,6.7,59.7,55.4,53.4,0.4071,0.3872,0,0
517,Male,32,Bachelor,1.3,97.2,57.8,62.0,0.4595,0.4352,0,0
518,Female,33,Bachelor,2.9,67.5,52.4,80.5,0.4023,0.3575,0,0
519,Non-Binary,30,Bachelor,2.6,73.0,80.0,68.3,0.485,0.4457,0,0
520,Male,30,Bachelor,6.2,60.7,49.4,62.7,0.3961,0.4092,0,0
521,Male,26,PhD,3.5,60.4,55.5,65.0,0.5471,0.5424,0,0
522,Male,32,Master,3.3,77.4,54.7,76.5,0.5217,0.4856,0,0
523,Non-Binary,26,Bachelor,0.5,87.7,20.0,52.4,0.2913,0.2775,0,0
524,Female,29,Bachelor,2.7,63.8,39.9,47.4,0.3086,0.2411,0,0
525,Female,35,Bachelor,3.4,71.7,72.1,86.6,0.4904,0.4347,0,0
526,Male,25,High School,2.0,80.4,86.4,68.6,0.4351,0.4236,0,0
527,Male,29,Master,3.4,79.5,68.9,52.0,0.5428,0.5463,0,0
528,Male,28,High School,7.8,81.8,59.1,67.6,0.4315,0.4099,0,0
529,Male,33,Master,2.6,60.5,100.0,84.6,0.6154,0.627,1,1
530,Female,31,Bachelor,1.6,49.5,69.2,82.4,0.3879,0.3419,0,0
531,Female,26,PhD,4.7,74.5,72.1,61.2,0.651,0.5677,1,1
532,Non-Binary,35,PhD,2.2,63.2,56.9,82.2,0.5633,0.4985,0,0
533,Non-Binary,28,Bachelor,2.9,65.2,54.9,68.5,0.3885,0.3885,0,0
534,Male,31,Bachelor,1.7,56.0,67.2,76.0,0.3936,0.38,0,0
535,Female,30,Master,4.5,82.6,52.8,55.8,0.5211,0.4625,0,0
536,Female,29,High School,2.9,64.4,77.9,73.0,0.3804,0.3205,0,0
537,Female,31,Bachelor,2.7,64.6,76.6,96.3,0.4867,0.4849,0,0
538,Male,27,PhD,4.6,64.8,47.1,84.0,0.5722,0.5744,0,1
539,Male,26,Master,5.3,59.2,40.9,59.8,0.4327,0.4235,0,0
540,Male,28,Master,1.1,64.9,82.4,40.9,0.498,0.507,0,0
541,Non-Binary,29,Bachelor,6.8,90.7,66.5,60.9,0.5415,0.5149,0,0
542,Female,31,Master,3.1,62.3,51.7,90.7,0.484,0.4319,0,0
543,Male,28,Bachelor,2.4,60.9,53.8,45.9,0.3377,0.3329,0,0
544,Female,34,Bachelor,3.7,75.4,72.8,73.3,0.4906,0.4384,0,0
545,Female,27,PhD,4.1,77.3,63.6,88.3,0.6582,0.5769,1,1
546,Male,22,Bachelor,6.2,62.3,72.7,46.9,0.4537,0.4534,0,0
547,Male,25,Bachelor,1.9,71.8,52.0,90.6,0.4124,0.4007,0,0
548,Female,26,Bachelor,1.6,69.7,100.0,83.9,0.544,0.4567,0,0
549,Male,24,Master,3.2,78.1,69.6,41.4,0.525,0.5335,0,0
550,Female,31,Bachelor,6.1,58.5,39.8,81.1,0.3814,0.3447,0,0
551,Male,35,Master,3.4,70.2,90.0,76.3,0.6125,0.6319,1,1
552,Female,27,Bachelor,3.6,69.4,65.4,87.3,0.4664,0.4112,0,0
553,Male,28,Master,5.7,75.7,66.9,57.9,0.5643,0.5611,0,0
554,Male,34,Master,5.0,65.2,87.8,76.8,0.6136,0.5925,1,1
555,Female,31,Bachelor,2.8,77.3,56.4,63.5,0.4203,0.3693,0,0
556,Male,27,High School,7.6,72.7,68.5,58.8,0.421,0.4264,0,0
557,Male,26,Bachelor,1.2,59.2,71.9,54.8,0.3842,0.3569,0,0
558,Male,27,Master,2.2,62.5,58.7,41.3,0.4325,0.4485,0,0
559,Female,28,Master,4.5,56.9,43.5,45.9,0.4059,0.3466,0,0
560,Female,25,Bachelor,6.2,67.8,63.0,68.9,0.4667,0.4078,0,0
561,Female,30,High School,1.4,74.0,60.1,72.8,0.3317,0.3008,0,0
562,Male,29,Bachelor,1.3,64.2,80.7,67.0,0.4427,0.4425,0,0
563,Male,30,Bachelor,2.9,57.5,75.5,81.1,0.4466,0.4676,0,0
564,Male,33,PhD,9.3,68.6,61.8,49.0,0.6492,0.6587,1,1
565,Male,32,Bachelor,1.9,47.7,85.8,56.7,0.4065,0.4043,0,0
566,Male,23,Bachelor,3.8,68.9,59.6,71.7,0.4301,0.3833,0,0
567,Male,22,High School,5.2,73.6,82.0,32.7,0.4005,0.4155,0,0
568,Male,32,High School,6.1,71.7,59.9,59.1,0.3713,0.3536,0,0
569,Female,30,Bachelor,4.1,72.8,100.0,52.1,0.5471,0.4942,0,0
570,Male,28,High School,2.8,82.0,67.7,58.7,0.3798,0.3872,0,0
571,Male,24,Master,2.2,67.0,74.7,49.1,0.5051,0.5022,0,0
572,Female,30,Master,3.2,71.1,89.5,55.1,0.5843,0.5284,0,0
573,Male,31,Bachelor,6.4,67.0,76.4,45.0,0.4791,0.487,0,0
574,Female,22,Bachelor,3.4,68.7,64.7,66.2,0.4331,0.3861,0,0
575,Female,32,Bachelor,1.1,54.3,60.3,77.2,0.3605,0.2915,0,0
576,Female,29,Bachelor,6.1,67.6,27.6,80.5,0.3687,0.325,0,0
577,Male,26,PhD,1.5,81.0,75.5,66.5,0.6434,0.6247,1,1
578,Female,28,Bachelor,2.3,64.7,55.6,70.0,0.383,0.3206,0,0
579,Male,23,Master,4.3,59.9,55.1,53.8,0.458,0.4525,0,0
580,Male,29,Bachelor,4.4,85.3,74.7,38.8,0.4914,0.5133,0,0
581,Male,28,Bachelor,1.4,50.8,72.8,90.1,0.4097,0.4152,0,0
582,Non-Binary,22,Master,0.3,81.2,28.4,65.1,0.3953,0.3741,0,0
583,Male,29,High School,0.9,78.7,80.3,75.3,0.4046,0.4162,0,0
584,Male,25,High School,4.8,89.2,66.4,68.1,0.4354,0.4222,0,0
585,Female,25,Bachelor,3.4,61.4,92.1,67.6,0.4996,0.416,0,0
586,Male,28,Bachelor,4.2,71.0,86.9,78.4,0.5352,0.5089,0,0
587,Male,28,Master,1.3,64.5,73.9,69.6,0.5088,0.5123,0,0
588,Male,25,Bachelor,7.5,74.6,77.8,71.0,0.5528,0.5676,0,1
589,Male,27,Bachelor,2.8,69.6,61.5,81.8,0.4371,0.4507,0,0
590,Male,25,Master,2.8,58.9,82.5,60.7,0.5289,0.5165,0,0
591,Male,28,Bachelor,2.5,64.3,73.1,86.2,0.4595,0.4798,0,0
592,Female,25,PhD,2.2,82.1,63.2,59.9,0.6094,0.5669,1,0
593,Male,23,Master,2.8,68.2,52.9,67.0,0.471,0.4801,0,0
594,Male,22,Master,1.8,69.9,63.2,74.2,0.5035,0.5258,0,0
595,Female,32,Master,2.8,89.1,93.4,65.9,0.6562,0.5905,1,1
596,Male,28,Master,3.8,60.8,80.7,84.0,0.5715,0.568,0,1
597,Female,26,Bachelor,3.8,53.3,66.3,76.1,0.4118,0.3524,0,0
598,Male,33,PhD,4.0,83.1,82.8,100.0,0.7481,0.7239,1,1
599,Male,26,Bachelor,2.4,89.7,100.0,93.0,0.6236,0.6169,1,1
600,Male,36,High School,1.0,73.7,63.6,65.9,0.3277,0.3241,0,0
601,Male,31,Bachelor,4.3,65.0,78.4,89.2,0.5063,0.5031,0,0
602,Male,27,Bachelor,3.2,62.3,53.5,77.0,0.3905,0.3889,0,0
603,Male,37,Master,5.9,45.9,67.2,69.0,0.4964,0.462,0,0
604,Male,26,Master,2.7,56.9,49.3,44.4,0.3977,0.4094,0,0
605,Male,31,Bachelor,4.9,69.2,78.0,47.5,0.4732,0.4866,0,0
606,Male,30,High School,3.9,65.8,65.0,66.1,0.3491,0.3547,0,0
607,Male,34,Master,2.3,75.5,41.2,59.6,0.4393,0.4218,0,0
608,Male,35,Bachelor,2.8,65.7,60.4,68.9,0.4063,0.4118,0,0
609,Male,29,Master,1.5,59.3,95.1,83.8,0.5806,0.581,0,1
610,Female,32,PhD,1.6,72.6,80.8,56.4,0.6246,0.5567,1,0
611,Male,30,Bachelor,4.8,98.1,80.8,56.9,0.5752,0.5985,0,1
612,Female,24,Bachelor,2.6,93.8,52.9,62.1,0.4523,0.3953,0,0
613,Female,22,Master,1.3,53.1,86.2,74.1,0.5202,0.4605,0,0
614,Male,29,Master,1.9,78.2,70.2,51.2,0.5218,0.5088,0,0
615,Female,27,Bachelor,1.7,79.5,86.3,77.9,0.5231,0.4742,0,0
616,Female,22,Master,6.8,86.4,60.8,77.1,0.615,0.5517,1,0
617,Male,23,Bachelor,3.9,49.1,80.7,57.7,0.4231,0.4263,0,0
618,Male,25,Bachelor,5.8,63.1,85.7,78.9,0.5312,0.5154,0,0
619,Female,28,Master,5.8,60.2,80.9,79.6,0.5921,0.5108,1,0
620,Female,28,Bachelor,5.7,56.0,82.1,65.0,0.4809,0.3957,0,0
621,Male,24,Bachelor,3.3,44.3,59.6,44.9,0.3192,0.3088,0,0
622,Male,31,High School,4.3,84.2,94.6,56.4,0.4877,0.4984,0,0
623,Male,33,Master,3.2,73.0,63.7,91.2,0.5542,0.5601,0,0
624,Male,31,Bachelor,2.9,81.5,79.1,78.6,0.5236,0.526,0,0
625,Female,34,Master,1.8,82.0,26.2,79.9,0.4297,0.4004,0,0
626,Male,25,High School,9.5,59.1,66.6,69.3,0.4151,0.4196,0,0
627,Male,23,Bachelor,2.9,38.1,59.3,61.4,0.3157,0.307,0,0
628,Female,31,Master,3.8,73.1,36.2,58.8,0.4362,0.3734,0,0
629,Male,27,PhD,4.2,64.6,80.4,82.7,0.6686,0.6651,1,1
630,Male,27,Bachelor,4.1,54.4,56.1,59.8,0.3668,0.36,0,0
631,Female,31,Master,1.3,35.2,28.0,83.5,0.2987,0.2772,0,0
632,Female,34,High School,1.4,62.1,64.7,82.8,0.3244,0.2918,0,0
633,Male,30,Bachelor,3.1,66.7,80.5,56.4,0.4604,0.4556,0,0
634,Male,37,Bachelor,7.1,79.4,61.5,74.7,0.5148,0.5106,0,0
635,Male,26,Master,5.2,56.1,85.1,58.2,0.5586,0.5691,0,1
636,Male,32,Bachelor,1.6,47.8,68.0,78.1,0.3739,0.389,0,0
637,Male,29,Bachelor,0.7,79.0,100.0,91.6,0.568,0.5404,0,0
638,Male,30,High School,9.3,74.6,47.4,66.3,0.3931,0.3905,0,0
639,Male,35,Bachelor,4.4,62.4,100.0,65.8,0.5385,0.5398,0,0
640,Male,31,High School,1.5,88.5,68.2,73.1,0.4003,0.4086,0,0
641,Male,31,Bachelor,2.9,46.8,73.1,58.5,0.3801,0.3818,0,0
642,Male,33,PhD,6.4,53.2,61.5,57.6,0.5754,0.5815,0,1
643,Male,27,Bachelor,3.5,61.5,48.0,58.0,0.3514,0.3478,0,0
644,Male,25,Bachelor,3.7,63.7,62.6,51.1,0.3974,0.3853,0,0
645,Male,24,Master,5.8,85.6,64.9,77.7,0.6126,0.6244,1,1
646,Female,30,Master,3.0,66.5,55.8,58.0,0.4667,0.4229,0,0
647,Male,37,Bachelor,5.4,65.7,85.7,80.4,0.5351,0.5449,0,0
648,Female,27,Bachelor,2.0,68.1,61.1,76.9,0.4145,0.3772,0,0
649,Female,32,Bachelor,4.0,67.4,54.2,69.8,0.4093,0.3456,0,0
650,Male,27,Bachelor,2.6,54.4,75.4,76.5,0.4275,0.4199,0,0
651,Male,30,Bachelor,2.2,52.7,45.4,53.7,0.295,0.3118,0,0
652,Male,32,Master,2.7,63.2,46.7,55.9,0.422,0.4274,0,0
653,Male,32,Master,3.6,70.0,49.0,75.3,0.4852,0.4861,0,0
654,Female,27,PhD,2.1,87.1,66.4,82.8,0.661,0.5779,1,1
655,Male,28,Bachelor,8.2,76.5,43.8,66.2,0.4555,0.4745,0,0
656,Male,30,Master,4.5,64.6,60.3,73.7,0.5153,0.4887,0,0
657,Male,28,Bachelor,3.6,80.6,50.8,83.0,0.4476,0.452,0,0
658,Male,35,Bachelor,1.9,74.1,76.8,85.7,0.4904,0.4894,0,0
659,Female,26,PhD,4.6,99.5,84.0,80.1,0.7822,0.6695,1,1
660,Male,31,Master,9.7,62.7,65.8,76.0,0.6007,0.6249,1,1
661,Male,31,Master,9.6,78.1,43.4,55.5,0.5479,0.5075,0,0
662,Non-Binary,33,Master,1.1,72.2,59.2,73.2,0.4868,0.4545,0,0
663,Female,22,Master,2.1,66.8,94.9,73.0,0.5962,0.5326,1,0
664,Male,23,Master,2.9,77.5,81.4,65.5,0.5862,0.5716,0,1
665,Male,30,Master,8.2,64.4,94.5,68.1,0.6649,0.6691,1,1
666,Male,26,Bachelor,3.6,64.9,85.7,52.6,0.4736,0.4702,0,0
667,Male,26,High School,5.8,65.0,72.3,71.5,0.4022,0.417,0,0
